CharacterID	Text	Context	Day	LineID	LineStatus	VoiceStatus	ExtraData
//	This is where the spoken text goes (or the conversation name - see below)	For internal use					
Test	These lines show some formatting stuff	Heres some useful internal notes	0	test_0_use_name_then_day	Placeholder	None	Extra stuff
Test	Let me ask you something... 	idk something can go here	0	test_0_dont_use_caps_in_ids	Draft	Placeholder	Can
Test	Did I ever tell you the definition... Of insanity?	Export: Save as Text (tab delimited)	0	test_0_q_questions_have_a_q_first	Final	Draft	Go
Test	That left column is for characters (case sensitive) and special markers	I got nothin	0	test_0_main_chars_only_use_one_letter	Draft	Placeholder	Here
							
//	"These just make sure that all characters are ""defined"" even if they have no lines yet"						
None	Character Define	Lines with no character	0	none_chardefine	None	None	
Player	Character Define		0	player_chardefine	None	None	
Tutorial_Mom	Character Define		0	tutmom_chardefine	None	None	
Tutorial_Dad	Character Define		0	tutdad_chardefine	None	None	
Jessica	Character Define		0	j_chardefine	None	None	
Bob	Character Define		0	b_chardefine	None	None	
Violet	Character Define		0	v_chardefine	None	None	
Hal	Character Define		0	h_chardefine	None	None	
Sal	Character Define		0	s_chardefine	None	None	
Dad	Character Define		0	dad_chardefine	None	None	
Bear	Character Define		0	bear_chardefine	None	None	
Raiders	Character Define		0	raiders_chardefine	None	None	
Neighbour	Character Define		0	neighbour_chardefine	None	None	
Journalist	Character Define		0	journalist_chardefine	None	None	
TV	Character Define		0	tv_chardefine	None	None	
Radio	Character Define		0	radio_chardefine	None	None	
							
							
//	These are basic prompts that are used repeatedly (as choices)						
Player	Yes		0	yes	Final	None	
Player	No		0	no	Final	None	
Player	Open door		0	open_door	Final	None	
Player	Keep door closed		0	keep_door_closed	Final	None	
Player	Send {character} to scavenge		0	send_to_scavenge	Final	None	
Player	Don't send {character} to scavenge		0	dont_send_to_scavenge	Final	None	
Player	Stay silent		0	stay_silent	Final	None	
Player	Go back		0	go_back	Final	None	
Player	Look through peephole		0	look_through_peephole	Final	None	
Player	Make decision	At door	0	make_decision	Final	None	
Player	Ask questions		0	ask_questions	Final	None	
Player	"""Who are you?"""		0	who_are_you	Final	None	
Player	"""What do you want?"""		0	what_do_you_want	Final	None	
Player	"""Why should I let you in?"""		0	why_should_i_let_you_in	Final	None	
Player	"""How can you be helpful to me?"""		0	how_can_you_be_helpful	Final	None	
							
							
							
//	Tutorial/day 0						
CONVERSATION	WakeUp		0				
Tutorial_Mom	Wake up sunshine...  you fell asleep while playing games.	First line of tutorial	0	tutmom_0_wake_up	Draft	None	
